school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
University Of Washington	FLAS Center For Global Studies	Masters	Fall 2022	Rejected		American			
Vanderbilt University	Interdisciplinary Graduate Program	PhD	Fall 2022	Rejected	3.3	American			
Oxford-Cambridge NIH Partnership	Biomedical Science	PhD	Fall 2022	Rejected	3.3	American			
Karolinska Institutet	Neuroscience	PhD	Fall 2022	Rejected	3.3	American			
Cold Spring Harbor Laboratory	Biological Sciences	PhD	Fall 2022	Rejected	3.3	American			
University Of Minnesota	Microbiology Immunology And Cancer Biology	PhD	Fall 2022	Rejected	3.3	American			
University Of Texas At Austin	Master Of Public Affairs	Masters	Fall 2022	Accepted	3.6	American	5.5	170.0	161.0
Washington University In St. Louis (WashU/WUSTL)	East Asian Studies	Masters	Fall 2022	Accepted		International			
Comparative Politics, Georgetown University	Government	PhD	Fall 2022	Interview		International			
University Of Oxford	Astrophysics	PhD	Fall 2022	Rejected		International			
North Carolina State University	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		International			
Northwestern University	Clinical Psychology	PhD	Fall 2022	Accepted		American			
Daniel J. Evans School Of Public Policy And Governance	Public Policy	PhD	Fall 2022	Rejected		International			
Widener University	Clinical Psychology		Fall 2022	Accepted	4.0	American	5.5	158.0	158.0
Penn State University	Computer Science	Masters	Fall 2021	Accepted	3.81	International	4.0	161.0	166.0
University Of Colorado, Boulder	Linguistics	Masters	Fall 2022	Accepted	3.25	International			
William James College	Clinical Psychology		Fall 2022	Accepted	3.91	American			
University Of Notre Dame	Philosophy	PhD	Fall 2022	Interview		American			
University Of California, Irvine	Data Science	Masters	Fall 2022	Wait listed	3.0	International			164.0
University Of California, Irvine	Data	Masters	Fall 2022	Wait listed	3.0	International			164.0
Penn State University	Computer Science	Masters	Fall 2022	Accepted	3.74	International	3.0	152.0	166.0
University Of Oxford	Statistics	PhD	Fall 2022	Wait listed		International			
University Of Texas At Austin	School Psychology	PhD	Fall 2022	Interview		American			
University Of Washington	Urban Planning	Masters	Fall 2022	Accepted	3.6	International			
University Of California, Berkeley	Energy And Resources Group	Masters	Fall 2022	Rejected		American			
University Of California, Irvine	Urban And Regional Planning	Masters	Fall 2022	Accepted	3.6	International			
Emory University	Economics	PhD	Fall 2022	Accepted		International			
University Of Chicago	Chemistry	PhD	Fall 2022	Accepted	3.83	American	4.5	160.0	159.0
Brandeis University	Anthropology	PhD	Fall 2022	Rejected		International			
Dartmouth College	Computer Science	PhD	Fall 2022	Accepted		American			
University Of Pennsylvania	Anthropology	PhD	Fall 2022	Rejected		International			
Harvard University	Medical Anthropology	Masters	Fall 2022	Rejected		International			
California State University San Marcos	Speech Pathology	Masters	Fall 2022	Accepted	4.0	American			
Governance & Globalization, Virginia Tech	Planning	PhD	Fall 2022	Accepted	3.6	American	5.5	163.0	156.0
University Of Pennsylvania	History And Sociology Of Science	PhD	Fall 2022	Interview		American			
Behavioral And Social Health Sciences, Brown University	Public Health	PhD	Fall 2022	Rejected		American			
Princeton University	Sociology	PhD	Fall 2022	Accepted	4.0	American			
University Of Colorado, Boulder	Linguistics	Masters	Fall 2022	Accepted	2.79	American			
Rensselaer Polytechnic Institute	Mechanical Engineering	PhD	Fall 2022	Accepted	3.52	International			
Harvard University	Anthropology	PhD	Fall 2022	Rejected		American			
University Of Illinois, Urbana Champaign (UIUC)	Landscape Architecture	PhD	Fall 2022	Accepted		International			
Yale University	Music History	Masters	Fall 2022	Accepted		American			
Hofstra University	Clinical Psychology	PhD	Fall 2022	Accepted		American			
University Of Virginia	Constructed Environment	PhD	Fall 2022	Interview		International			
Johns Hopkins University	Health Behavior And Society	PhD	Fall 2022	Rejected		American			
ETH Zurich - Swiss Federal Institute Of Technology	Environmental Science	Masters	Fall 2022	Accepted	3.84	International			
University Of Colorado, Boulder	Chemical And Biological Engineering	PhD	Fall 2022	Rejected		International			
Georgia Southern University	Clinical Psychology		Fall 2022	Wait listed	4.0	American			
Wayne State University	History	PhD	Fall 2022	Rejected	4.0	American	5.0	165.0	153.0
Brown University	Epidemiology	PhD	Fall 2022	Rejected		International			
Virginia Tech	Chemistry	PhD	Fall 2022	Accepted		International			
University Of Texas At Austin	Sociology	PhD	Fall 2022	Rejected		International			
Rensselaer Polytechnic Institute	Chemical And Biological Engineering	PhD	Fall 2022	Accepted		International			
Washington University In St. Louis (WashU/WUSTL)	Public Health	PhD	Fall 2022	Rejected		American			
University Of Minnesota	Communication Studies	PhD	Fall 2022	Accepted	4.0	American			
Stanford University	History	PhD	Fall 2022	Accepted		International			
Stan	History	PhD	Fall 2022	Accepted		International			
Virginia Commonwealth University	Accounting	PhD	Fall 2022	Interview		International			
Queens College	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
University Of Wisconsin-Madison	Life Sciences Communication	Masters	Fall 2022	Accepted	3.51	American			
Georgia Institute Of Technology	Machine Learning	PhD	Fall 2022	Accepted	4.0	International			169.0
University Of Wisconsin-Madison	Computer Science	PhD	Fall 2022	Accepted	4.0	American			
Princeton University	Mathematics	PhD	Fall 2022	Rejected		International			
Virginia Commonwealth University	Accounting	PhD	Fall 2022	Interview		International			
University Of Wisconsin-Madison	Computer Science	PhD	Fall 2022	Accepted		International			
University Of California, Davis	Agricultural Economics	PhD	Fall 2022	Accepted	4.0	International			166.0
University Of Chicago	Linguistics	PhD	Fall 2022	Wait listed		International			
Brown University	Sociology	PhD	Fall 2022	Rejected	3.75	International			164.0
Boston University	Earth & Environment	PhD	Fall 2022	Accepted	3.8	American			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Accepted		International			
Brown University	Sociology	PhD	Fall 2022	Rejected	3.67	American			164.0
UCL	Financial Economics	Masters	Fall 2022	Accepted		International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	3.8	International	5.0	168.0	169.0
Brown University	Sociology	PhD	Fall 2022	Rejected	4.0	International			
University Of Washington	Computer Science	PhD	Fall 2022	Rejected		International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Accepted	3.99	International	4.0	159.0	170.0
Northwestern University	Artificial Intelligence	Masters	Fall 2022	Accepted	3.1	International	4.5	165.0	169.0
Florida State University (FSU)	School Psychology	Other	Fall 2022	Wait listed	3.72	American			
Northwestern University	Neuroscience	PhD	Fall 2022	Accepted		International			
Florida State University (FSU)	School Psychology	Other	Fall 2022	Wait listed	3.8	American			
University Of Windsor	Clinical Neuropsychology	PhD	Fall 2022	Interview	3.97	International			
Carnegie Mellon University	Machine Learning	PhD	Fall 2022	Accepted	3.83	American			
Princeton University	History	PhD	Fall 2022	Rejected		International			
University Of Michigan Ann Arbor	Comparative Literature	PhD	Fall 2022	Wait listed		International			
University Of Rochester	Economics	PhD	Fall 2022	Wait listed		International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Accepted	9.94	International	5.0	158.0	170.0
Yeshiva University	Clinical Psychology		Fall 2022	Wait listed		American			
University Of Oregon	Speech Language Pathology	Masters	Fall 2022	Accepted	3.97	American			
George Washington University	Clinical Psychology		Fall 2022	Accepted		American			
University Of Waterloo	Digital Experience And Innovation	Masters	Fall 2022	Accepted	3.54	International			
University Of Oregon	Speech Language Pathology	Masters	Fall 2022	Accepted	3.77	American			
Georgia Institute Of Technology	Biomedical Engineering	PhD	Fall 2022	Interview		International			
Georgia Institute Of Technology	Biomedical Engineering	PhD	Fall 2022	Interview	3.95	International			
New York University	Health Policy	PhD	Fall 2022	Rejected		American			
Georgetown University School Of Foreign Service (SFS)	Security Studies	Masters	Fall 2022	Accepted	3.92	American			
Cornell University	Management	PhD	Fall 2022	Rejected	3.68	International	4.0	157.0	168.0
McGill University	Counselling Psychology (Project)	Other	Fall 2022	Rejected		Other			
Cornell University	Management	PhD	Fall 2022	Rejected	3.72	American	5.5	167.0	157.0
University Of British Columbia	Masters Of Nutrition And Dietetics	Masters	Fall 2022	Rejected		American			
University Of Maryland	Computer Science	Masters	Fall 2022	Accepted	3.77	International			170.0
University Of Oregon	Speech Language Pathology	Masters	Fall 2022	Accepted	3.95	American			
University Of Oregon	Communication Disorders And Sciences	Masters	Fall 2022	Wait listed	3.81	American			
University Of Oregon	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
University Of Western Ontario	Occupational Therapy	Masters	Fall 2022	Accepted		American			
Tufts University	Art History And Museum Studies	Masters	Fall 2022	Accepted		American			
University Of Hartford	Clinical Psychology		Fall 2022	Accepted	3.2	American			
LSU Health New Orleans	Audiology	Other	Fall 2022	Rejected		American			
McGill University	Counselling Psychology (Project)	Masters	Fall 2022	Rejected		International			
Yale University	Biostatistics	Masters	Fall 2022	Accepted	3.55	American	5.0	164.0	164.0
University Of Kentucky	Radiation Sciences (Medical Physics)	PhD	Fall 2022	Accepted		American			
Tufts University	Economics & Public Policy	PhD	Fall 2022	Wait listed		International			
La Salle University	Clinical Psychology		Fall 2022	Wait listed		American			
Yale University	Biostatistics	Masters	Fall 2022	Accepted	3.94	American	5.0	165.0	163.0
North Carolina Central University	Communication Sciences And Disorders	Masters	Fall 2022	Accepted	3.56	American			
University Of North Carolina Charlotte	Applied Mathematics (Statistics Concentration)	PhD	Fall 2022	Accepted	3.6	International	3.5	141.0	161.0
Duke University	Economics	Other	Fall 2022	Interview		Other			
Case Western Reserve University	Epidemiology And Biostatistics	PhD	Fall 2022	Rejected		International			
Utah	Finance	PhD	Fall 2022	Wait listed		International			
Northeastern University	Chemistry	PhD	Fall 2022	Rejected		American			
Culture And New Media, McMaster	Communications	Other	Fall 2022	Accepted		Other			
La Salle University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.98	American			
Bennington College	Creative Writing Fiction	MFA	Fall 2022	Rejected		American			
University Of Michigan (Ann Arbor)	Public Policy	Masters	Fall 2021	Rejected	3.8	International	4.0	168.0	170.0
Architectural Association School Of Architecture	History And Critical Thinking	Masters	Fall 2022	Accepted	3.78	International			
La Salle University	Clinical Psychology		Fall 2022	Accepted	3.91	American			
Virginia Commonwealth University	Creative Writing Fiction	MFA	Fall 2022	Wait listed		American			
East Carolina University (ECU)	Occupational Therapy	Masters	Fall 2022	Accepted	3.81	American	4.5	157.0	169.0
University Of Texas At Austin	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		International			
University Of Southern California	Urban Planning	PhD	Fall 2022	Wait listed	4.0	International	5.0	166.0	170.0
Emory University	Epidemiology	PhD	Fall 2022	Rejected		International			
California Baptist University	Speech Language Pathology	Masters	Fall 2022	Interview	3.75	American			
Duke University	Biomedical Engineering	Masters	Fall 2022	Rejected	3.7	International			
University Of Chicago	Statistics	PhD	Fall 2022	Accepted	4.0	International	5.0	166.0	170.0
Texas Tech University	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
University Of Chicago	Philosophy	PhD	Fall 2022	Rejected	3.97	American			
Columbia University	Public Health	Masters	Fall 2022	Accepted	3.63	American			
Princeton University	Politics	PhD	Fall 2022	Rejected		International			
University Of Texas At Austin	Physics	PhD	Fall 2022	Interview	3.77	American			
California Institute Of Technology	Mathematics	PhD	Fall 2022	Rejected		International			
University Of Alabama At Birmingham	P3	PhD	Fall 2022	Accepted		International			
Washington University In St. Louis (WashU/WUSTL)	Creative Writing	MFA	Fall 2022	Rejected	3.5	American			
Washington University In St. Louis (WashU/WUSTL)	Creative Writing	MFA	Fall 2022	Rejected	3.4	American			
Washington University In St. Louis (WashU/WUSTL)	Creative Writing	MFA	Spring 2021	Rejected	3.4	American			
University Of Michigan (Ann Arbor)	Political Science	PhD	Fall 2022	Wait listed		International			
University Of Wisconsin-Madison	Statistics	Masters	Fall 2022	Rejected	3.44	American			169.0
Princeton University	Political Science	PhD	Fall 2022	Rejected		International			
University Of Michigan (Ann Arbor)	Anthropology	PhD	Fall 2022	Rejected	3.8	American	4.5	159.0	155.0
Tufts University	Mathematics	PhD	Fall 2022	Rejected	3.99	International			
University Of Wisconsin-Milwaukee	Urban Planning	Masters	Fall 2022	Accepted	3.5	International			
University Of Pennsylvania	Computer Science	Masters	Fall 2022	Accepted		International			
University Of Michigan (Ann Arbor)	Political Science	PhD	Fall 2022	Accepted	3.96	International			
Georgia Tech	Civil And Environmental Engineering	PhD	Fall 2022	Interview		International			
University Of British Columbia	Marketing (CB)	PhD	Fall 2022	Wait listed		International			
University Of Michigan (Ann Arbor)	Political Science	PhD	Fall 2022	Accepted	3.95	American			
